eye_movement_freq,eye_fixation_duration,head_pose_variance,head_stability,response_delay,emotion_stability,emotion_intensity,micro_expression_count,blink_rate,speech_pause_frequency,gaze_dispersion,cognitive_load_score,label,sample_id,class_name,is_edge_case
6.310775116664165,145.59055869082732,4.21773606886907,-2.6883773101130854,4.589494380047038,0.9167301345298566,0.03606684371288993,3.830760147432886,9.606874698386935,2.943342456664951,15.489216889235887,1.993882972581261,1,sample_001451,AI-Assisted,
6.877539991539037,171.64996830736038,1.0009679029652878,-0.4339679700160959,3.0055703751182232,0.8492043872773106,0.06898064414923705,4.391043984115584,9.035978779454524,2.52773894596275,17.480585482223162,1.5747850198428357,1,sample_001334,AI-Assisted,
2.616906166783639,299.4318160368256,6.706600693734129,-4.484175836976018,0.7374031640708879,0.7579863857484831,0.1519238306844798,5.925238085800849,12.947413408949549,2.669993762077731,22.744488925919228,0.5090302369446899,0,sample_001761,Genuine,
4.0048066526586545,323.66433865790367,6.637356463667344,-4.451037718067585,1.7894192212768518,0.7136132775009413,0.3477665643381674,8.659360077791844,13.045866595361687,5.866761409119769,33.20745753512636,0.9858190736643733,0,sample_001735,Genuine,
5.439817819600376,173.80662689177288,3.024326818800367,-1.826589093705388,4.749820913536532,0.816731112144651,0.10427511528493721,5.382941158351716,9.537617108810721,0.24022668734431507,18.251394865386448,2.165206050425137,1,sample_001576,AI-Assisted,
8.328648259906855,146.4917346680425,4.801305837996299,-3.0905439204503855,5.135956979286019,0.8018916697317877,0.25006857397786075,0.49173770986027043,14.596805156310397,1.715671827894087,11.265261453907502,2.2368623732279143,1,sample_001110,AI-Assisted,
6.491789217305818,123.93292508962762,1.9911433019241729,-1.1660763028496075,5.64697936251634,0.8147063464631282,0.11812255859443838,0.28141900679743875,12.364850493554158,2.3012694040258004,20.49889533440639,2.555033393908,1,sample_001594,AI-Assisted,
4.382591426095229,282.84080671309823,7.104032879309287,-4.765812410633531,0.9612640586096509,0.4912113536811836,0.20210474037040746,9.30813193465417,18.682329134599296,5.9911309257156375,33.67916485737202,0.5348186814224507,0,sample_000530,Genuine,
8.7483138662858,80.08349209301717,4.43232880812112,-2.849547848525853,4.701988632122161,0.8633777980024829,-0.04009411302006685,3.67525960240343,8.959496431051324,3.108128847977475,11.527934062465395,2.0538933044902468,1,sample_000651,AI-Assisted,
5.131608898219229,139.47901816412443,3.8024978578349673,-2.411133549710343,2.6992262153211404,0.759846618052746,0.027072065618106267,3.2505896382990236,13.074891812842507,2.4861944142097827,15.417533037639881,1.229734482475631,1,sample_000819,AI-Assisted,
